127.0.0.1 - - [17/Jun/2017:11:04:33 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/home/home.controller.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/score-card/scorecard.controllers.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/schedule/schedule.controllers.js HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/score-card/livesore.controllers.js HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/availability/availability.controller.js HTTP/1.1" 200 5267
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:38 -0500] "GET /ZulfiCricket/static/src/public/timer.js HTTP/1.1" 200 3860
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:39 -0500] "GET /ZulfiCricket/static/lib/angular-material.min.js HTTP/1.1" 200 387136
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "POST /ZulfiCricket/user/session HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/src/public/public.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/images/spinner.svg HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/src/public/home/landing.html HTTP/1.1" 200 2926
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/css/public.css HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/src/common/table-grid/dynamic-table.html HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/static/images/lagan-2.jpg HTTP/1.1" 200 263939
0:0:0:0:0:0:0:1 - - [17/Jun/2017:12:13:40 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+B HTTP/1.1" 200 1420
