127.0.0.1 - - [09/Jul/2017:18:59:35 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/static/css/public.css HTTP/1.1" 200 8055
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=white HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+35+Overs+League&seasonYear=red HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:43 -0500] "GET /ZulfiCricket/seasons/list HTTP/1.1" 400 1117
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:44 -0500] "GET /ZulfiCricket/teams/list HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:00:44 -0500] "GET /ZulfiCricket/leagues/list HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:02:55 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:02:55 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:02:55 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:02:55 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:03:22 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:04:10 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:08:58 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:18:28 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:18:44 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:21:25 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:21:35 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:21:35 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:21:35 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:21:35 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:22:18 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:22:18 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:22:18 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:22:18 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:24:05 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:24:05 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:24:05 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:24:05 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:41:00 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:41:00 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:41:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:19:41:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:00:14 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:00:14 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:00:14 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:00:14 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:00:14 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:00 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:00 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:00 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:00 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:51 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:51 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:51 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:51 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:01:51 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:15 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:15 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:15 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:15 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:15 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:31 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:31 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:32 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:32 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:34 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:43 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:43 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:43 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:43 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:02:43 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:27 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:27 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:27 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:27 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:27 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:33 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:35 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:35 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:35 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:35 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:06:35 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:14 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:22 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:29 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:29 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:29 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:07:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:08:04 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:08:04 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:08:04 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:08:04 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:08:04 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:09:17 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:09:17 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:09:17 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:09:18 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:10:39 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:10:39 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:10:39 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:10:39 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:11:43 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:11:43 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:11:43 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:11:43 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:11:43 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:04 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:04 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:04 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:04 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:04 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:09 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:09 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:09 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:12:09 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:05 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:05 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:06 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:06 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:12 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [09/Jul/2017:20:13:14 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
