127.0.0.1 - - [02/Jun/2017:21:02:13 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:02:14 -0500] "GET /ZulfiCricket/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:02:16 -0500] "GET /ZulfiCricket/login HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:02:16 -0500] "GET /ZulfiCricket/static/css/app.css HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:02:16 -0500] "GET /ZulfiCricket/static/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:02:16 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:03:52 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/index.html HTTP/1.1" 200 9209
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/css/style.css HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/css/restaurant.css HTTP/1.1" 200 4380
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/css/common.css HTTP/1.1" 200 3250
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/lib/jquery-2.1.4.min.js HTTP/1.1" 200 84349
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/lib/angular-aria.min.js HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/lib/angular-animate.min.js HTTP/1.1" 200 25673
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/lib/angular-ui-router.min.js HTTP/1.1" 200 33848
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [02/Jun/2017:21:04:15 -0500] "GET /ZulfiCricket/static/lib/bootstrap.min.js HTTP/1.1" 200 36874
